X	Y	V_x	V_y
-3.40623	0.20605	20.10358	-17.93593
-3.40422	0.20425	20.10375	-17.93594
-3.40221	0.20246	20.10392	-17.93595
-3.40020	0.20066	20.10409	-17.93596
-3.39819	0.19887	20.10426	-17.93597
-3.39618	0.19708	20.10443	-17.93598
-3.39417	0.19528	20.10460	-17.93599
-3.39216	0.19349	20.10477	-17.93600
-3.39014	0.19170	20.10494	-17.93601
-3.38813	0.18990	20.10511	-17.93602
-3.38612	0.18811	20.10528	-17.93603
-3.38411	0.18632	20.10545	-17.93603
-3.38210	0.18452	20.10562	-17.93604
-3.38009	0.18273	20.10579	-17.93605
-3.37808	0.18093	20.10596	-17.93606
-3.37607	0.17914	20.10613	-17.93607
-3.37406	0.17735	20.10630	-17.93608
-3.37205	0.17555	20.10647	-17.93609
-3.37004	0.17376	20.10663	-17.93610
-3.36803	0.17197	20.10680	-17.93611
-3.36602	0.17017	20.10697	-17.93612
-3.36401	0.16838	20.10714	-17.93612
-3.36200	0.16659	20.10731	-17.93613
-3.35999	0.16479	20.10748	-17.93614
-3.35797	0.16300	20.10765	-17.93615
-3.35596	0.16121	20.10781	-17.93616
-3.35395	0.15941	20.10798	-17.93616
-3.35194	0.15762	20.10815	-17.93617
-3.34993	0.15582	20.10832	-17.93618
-3.34792	0.15403	20.10849	-17.93619
-3.34591	0.15224	20.10865	-17.93620
-3.34390	0.15044	20.10882	-17.93620
-3.34189	0.14865	20.10899	-17.93621
-3.33988	0.14686	20.10916	-17.93622
-3.33787	0.14506	20.10932	-17.93623
-3.33586	0.14327	20.10949	-17.93623
-3.33384	0.14148	20.10966	-17.93624
-3.33183	0.13968	20.10983	-17.93625
-3.32982	0.13789	20.10999	-17.93625
-3.32781	0.13609	20.11016	-17.93626
-3.32580	0.13430	20.11033	-17.93627
-3.32379	0.13251	20.11049	-17.93627
-3.32178	0.13071	20.11066	-17.93628
-3.31977	0.12892	20.11083	-17.93629
-3.31776	0.12713	20.11099	-17.93629
-3.31575	0.12533	20.11116	-17.93630
-3.31373	0.12354	20.11133	-17.93631
-3.31172	0.12175	20.11149	-17.93631
-3.30971	0.11995	20.11166	-17.93632
-3.30770	0.11816	20.11182	-17.93633
